Наименование товара;Артикул;Розничная цена;Остаток на складе
Электронная плата с экраном для ET 49;549-03;3900.00;3
Резистор для инкубатора ET 12;512-04;1240.00;2
Резистор для инкубатора ET 24;524-04;2330.00;3
Резистор для инкубатора ET 49;549-04;2810.00;2
Инкубатор Janoel mini 10 Plus автоматический;JNL-10PLUS;6360.00;20
Электропогонялка кнопочная 500 мм;T202P-500;6770.00;25
Электропогонялка кнопочная 700 мм;T202P-700;6770.00;28
Электропогонялка автоматическая 500 мм;T202A-500;7160.00;37
Электропогонялка автоматическая 700 мм;T202A-700;7160.00;19
Крышка для бункерной кормушки арт. 013/30, 013/03  пластик;013/31;158.00;6
Коптильня электрическая ТермМикс 1  кВт;KPTM-01;3740.00;20
Электросушилка бытовая для овощей, грибов, ягод, фруктов Волтера-1000 Люкс;ЭСБ-1000;7900.00;2
Поилка поплавковая Kubic Gold Premium 40 л;2178A0000;5980.00;9
Поилка поплавковая Kubic Gold Premium 30 л;2177A0000;5580.00;20
Поилка поплавковая Kubic Gold Premium 50 л;2179A0000;6540.00;20
Поилка поплавковая автоматическая Evolution для цыплят;2185A0000;2450.00;1
Поилка поплавковая автоматическая Evolution для кур;2186A0000;2870.00;4
Кормушка бункерная Kubic Premium 21 кг пластик с разделительной решеткой на ножках;2180A0000;5580.00;14
Кормушка бункерная Kubic Premium 28 кг пластик с разделительной решеткой на ножках;2181A0000;6220.00;20
Кормушка бункерная Kubic Premium 35 кг пластик с разделительной решеткой на ножках;2182A0000;6540.00;20
Поилка чашечная автоматическая для птиц Toce Evolution ;2183A0000;798.00;19
Поилка чашечная автоматическая для кроликов Niagara Evolution ;2184A0000;878.00;38
Кормушка-поилка навесная 0,3 л пластик;DBMH300;173.00;219
Кормушка-поилка навесная 0,8 л пластик;DBMH800;276.00;57
Кормушка-поилка навесная 1,4 л пластик;DBMH1400;356.00;31
Ножевая пара Heiniger для стрижки лошадей 31F/15;703-560;4280.00;9
Брудер-павильон Rcom Bird brooder для птиц L;MX-BL500;61900.00;12
Туалет-домик Catidea 52х38х42 см с совком, кремовый;CL101-Cream;3630.00;123
Туалет Catidea 44х44х14,5 см с совком, розовый;CL202-Pink;1310.00;93
Туалет Catidea 44х44х14,5 см с совком, кремовый;CL202-Cream;1310.00;165
Туалет Catidea 44х44х9,8 см с совком, розовый;CL203-Pink;869.00;16
Туалет Catidea 44х44х9,8 см с совком, кремовый;CL203-Cream;869.00;1
Миска двойная Catidea с автопоением, пластик, голубая;CF302-Sky;838.00;10
Миска двойная Catidea с автопоением, пластик, розовая;CF302-Pink;838.00;27
Щетка Catidea массажная с каплей, пластик, розовая;CG1-Pink;652.00;9
Щетка Catidea массажная с каплей, пластик, аквамарин ;CG1-Aqua;652.00;4
Щетка Catidea, розовая;CG2-Pink;652.00;15
Щетка Catidea, голубая;CG2-Sky;652.00;15
Щетка Catidea, желтая;CG2-Yellow;652.00;8
Щетка Catidea, аквамарин ;CG2-Aqua;652.00;3
Расческа-грабли Catidea розовая;CG4-Pink;652.00;8
Расческа-грабли Catidea голубая;CG4-Sky;652.00;7
Расческа-грабли Catidea желтая;CG4-Yellow;652.00;7
Расческа-грабли Catidea аквамарин ;CG4-Aqua;652.00;1
Щетка массажная для мытья кошек, розовая;CG5-Pink;652.00;16
Щетка массажная для мытья кошек, голубая;CG5-Sky;652.00;16
Щетка массажная для мытья кошек, желтая;CG5-Yellow;652.00;19
Щетка массажная для мытья кошек, аквамарин;CG5-Aqua;652.00;8
Пуходерка Catidea с защитным рядом зубьев, розовая;CG6-Pink;652.00;14
Пуходерка Catidea с защитным рядом зубьев, голубая;CG6-Sky;652.00;12
Пуходерка Catidea с защитным рядом зубьев, желтая;CG6-Yellow;652.00;6
Пуходерка Catidea с защитным рядом зубьев, аквамарин ;CG6-Aqua;652.00;14
Расческа Catidea с зубьями разной длины, аквамарин;CG7-Aqua;652.00;5
Расческа Catidea с зубьями разной длины, желтая;CG7-Yellow;652.00;5
Расческа Catidea с зубьями разной длины, аквамарин ;CG7-L-Aqua;652.00;6
